Index,Metrics,Value
78,commits,58
78,size,243
78,Contributors,2
78,Age,7
79,commits,109
79,stars,5
79,size,43649
79,Contributors,5
79,Forks,4
79,Age,3
80,commits,66
80,stars,0
80,size,107999
80,Contributors,2
80,Forks,0
80,Age,4
81,commits,9
81,stars,0
81,size,4538
81,Contributors,3
81,Forks,1
81,Age,2
82,commits,22
82,stars,0
82,size,2347
82,Contributors,1
82,Forks,0
82,Age,0
83,commits,94
83,stars,0
83,Contributors,1
83,Forks,1
83,Age,2
84,commits,52
84,stars,0
84,size,41622
84,Contributors,2
84,Forks,2
84,Age,4
85,commits,2
85,stars,0
85,size,111
85,Contributors,1
85,Forks,0
85,Age,0
86,commits,8
86,stars,0
86,size,1641
86,Contributors,1
86,Forks,0
86,Age,0
87,commits,40
87,stars,0
87,size,16262
87,Contributors,3
87,Forks,0
87,Age,1
88,commits,3
88,stars,5
88,size,471
88,Contributors,1
88,Forks,6
88,Age,3
89,commits,3
89,stars,0
89,size,17
89,Contributors,1
89,Forks,0
89,Age,0
90,commits,101
90,stars,0
90,size,26457
90,Contributors,1
90,Forks,0
90,Age,4
91,commits,5
91,stars,10
91,size,100
91,Contributors,1
91,Forks,0
91,Age,7
92,commits,90
92,stars,0
92,size,134
92,Contributors,1
92,Forks,0
92,Age,1
93,commits,7
93,stars,0
93,size,10302
93,Contributors,1
93,Forks,0
94,commits,78
94,stars,8
94,size,212
94,Contributors,2
94,Forks,1
94,Age,7
95,commits,64
95,stars,5
95,size,115168
95,Contributors,3
95,Forks,1
95,Age,6
96,commits,26
96,stars,0
96,size,30072
96,Contributors,1
96,Forks,0
96,Age,1
97,commits,36
97,stars,1
97,size,8049
97,Contributors,1
97,Forks,1
97,Age,1
98,commits,9
98,stars,0
98,size,11921
98,Contributors,1
98,Forks,0
98,Age,8
99,commits,41
99,stars,1
99,size,274126
99,Contributors,3
99,Forks,2
99,Age,4
100,commits,20
100,stars,0
100,size,38
100,Contributors,1
100,Forks,0
100,Age,0
101,commits,42
101,stars,0
101,size,9690
101,Contributors,1
101,Forks,1
101,Age,3
102,commits,42
102,stars,0
102,size,2924
102,Contributors,1
102,Forks,1
102,Age,8
103,commits,26
103,stars,2
103,size,557
103,Contributors,2
103,Forks,1
103,Age,0
104,commits,3
104,stars,0
104,size,779
104,Contributors,1
104,Forks,0
104,Age,0
105,commits,10
105,stars,5
105,size,14642
105,Contributors,1
105,Forks,1
105,Age,0
106,commits,12
106,stars,0
106,size,24
106,Contributors,1
106,Forks,0
106,Age,0
107,commits,20
107,stars,6
107,size,45
107,Contributors,2
107,Forks,1
107,Age,6
108,commits,3
108,stars,2
108,size,427
108,Contributors,1
108,Forks,0
108,Age,5
109,commits,2
109,stars,0
109,size,515
109,Contributors,1
109,Forks,0
109,Age,0
110,commits,3
110,stars,1
110,size,388
110,Contributors,1
110,Forks,1
110,Age,0
111,commits,443
111,stars,1
111,size,4292
111,Contributors,1
111,Forks,0
111,Age,1
112,commits,4
112,stars,0
112,size,12
112,Contributors,3
112,Forks,0
112,Age,0
113,commits,564
113,stars,9
113,size,1010
113,Contributors,1
113,Forks,4
114,commits,2
114,stars,0
114,size,331
114,Contributors,1
114,Forks,0
114,Age,0
115,commits,2
115,stars,3
115,size,828
115,Contributors,1
115,Forks,0
115,Age,0
116,commits,17
116,stars,0
116,size,79
116,Contributors,1
116,Forks,0
116,Age,1
117,commits,189
117,stars,1
117,size,33957
117,Contributors,2
117,Forks,1
117,Age,0
118,commits,20
118,stars,1
118,size,2037
118,Contributors,1
118,Forks,0
118,Age,0
119,commits,5
119,stars,1
119,size,44731
119,Contributors,1
119,Forks,0
119,Age,0
120,commits,135
120,size,132804
120,Contributors,4
121,commits,24
121,stars,0
121,size,98
121,Contributors,3
121,Forks,0
122,commits,6
122,stars,0
122,size,42339
122,Contributors,1
122,Forks,0
122,Age,0
123,commits,1
123,stars,0
123,size,2150
123,Contributors,1
123,Forks,1
123,Age,0
124,commits,7
124,stars,0
124,size,988
124,Contributors,1
124,Forks,0
124,Age,0
125,commits,22
125,stars,1
125,size,7851
125,Contributors,1
125,Forks,0
125,Age,1
126,commits,24
126,stars,11
126,size,139
126,Contributors,1
126,Forks,8
126,Age,3
127,commits,328
127,stars,1
127,size,17125
127,Contributors,2
127,Forks,0
127,Age,6
128,commits,4
128,stars,0
128,size,17
128,Contributors,1
128,Forks,0
128,Age,0
129,commits,4
129,stars,9
129,size,8149
129,Contributors,1
129,Forks,2
130,commits,35
130,stars,0
130,size,111944
130,Contributors,1
130,Forks,0
130,Age,5
131,commits,3
131,stars,14
131,size,3100
131,Contributors,1
131,Forks,8
131,Age,0
132,commits,75
132,stars,8
132,size,2046
132,Contributors,2
132,Forks,0
132,Age,1
133,commits,84
133,stars,1
133,size,8528
133,Contributors,1
133,Forks,0
133,Age,3
134,commits,11
134,stars,3
134,size,8
134,Contributors,1
134,Forks,0
134,Age,0
135,commits,3
135,stars,6
135,size,4449
135,Contributors,1
135,Forks,0
135,Age,5
136,commits,23
136,stars,0
136,size,12086
136,Contributors,1
136,Forks,0
136,Age,0
137,commits,63
137,stars,1
137,size,2877
137,Contributors,1
137,Forks,4
137,Age,3
138,commits,57
138,stars,0
138,size,87885
138,Contributors,3
138,Forks,0
138,Age,7
139,commits,1
139,stars,5
139,size,93
139,Contributors,1
139,Forks,2
139,Age,0
140,commits,42
140,stars,0
140,size,40349
140,Contributors,2
140,Forks,0
140,Age,6
141,commits,341
141,stars,1
141,size,72499
141,Contributors,3
141,Forks,2
141,Age,5
142,commits,31
142,stars,1
142,size,7416
142,Contributors,1
142,Forks,0
142,Age,1
143,commits,4
143,stars,0
143,size,5
143,Contributors,1
143,Forks,0
143,Age,0
144,commits,14
144,stars,0
144,size,116
144,Contributors,2
144,Forks,0
144,Age,0
145,commits,7
145,stars,0
145,size,428
145,Contributors,1
145,Forks,0
145,Age,0
146,commits,25
146,size,1732
146,Contributors,1
146,Forks,9
146,Age,3
147,commits,1
147,stars,0
147,size,134
147,Contributors,1
147,Forks,0
147,Age,0
148,commits,182
148,stars,1
148,Contributors,1
148,Forks,1
148,Age,2
149,commits,35
149,stars,1
149,size,18833
149,Contributors,1
149,Forks,0
149,Age,0
150,commits,1
150,stars,7
150,size,28
150,Contributors,1
150,Forks,5
150,Age,0
151,commits,638
151,stars,7
151,size,51420
151,Contributors,6
151,Forks,7
151,Age,4
152,commits,1
152,stars,0
152,size,223
152,Contributors,0
152,Forks,0
152,Age,0
153,commits,86
153,stars,5
153,size,71408
153,Contributors,5
153,Forks,4
153,Age,4
154,commits,22
154,stars,0
154,size,29720
154,Contributors,3
154,Forks,0
154,Age,8
155,commits,4
155,stars,0
155,size,57
155,Contributors,1
155,Forks,0
155,Age,4
156,commits,34
156,stars,3
156,size,3691
156,Contributors,3
156,Forks,0
156,Age,0
157,commits,105
157,stars,0
157,size,11337
157,Contributors,2
157,Forks,0
157,Age,5
158,commits,1
158,stars,0
158,size,251
158,Contributors,0
158,Forks,0
158,Age,0
159,commits,61
159,stars,0
159,size,133
159,Contributors,3
159,Forks,2
159,Age,9
160,commits,13
160,stars,0
160,size,3060
160,Contributors,0
160,Forks,0
160,Age,5
161,commits,39
161,stars,0
161,size,67685
161,Contributors,1
161,Forks,0
161,Age,1
162,commits,8
162,stars,0
162,size,1607
162,Contributors,1
162,Forks,0
162,Age,8
163,commits,40
163,stars,1
163,size,18132
163,Contributors,1
163,Forks,0
163,Age,6
164,commits,12
164,stars,0
164,size,81
164,Contributors,1
164,Forks,0
164,Age,0
165,commits,7
165,stars,0
165,size,44
165,Contributors,1
165,Forks,0
165,Age,0
166,commits,52
166,stars,1
166,size,110606
166,Contributors,4
166,Forks,0
166,Age,0
167,commits,4
167,stars,0
167,size,21729
167,Contributors,1
167,Forks,1
167,Age,0
168,commits,23
168,stars,7
168,size,12959
168,Contributors,1
168,Forks,1
168,Age,1
169,commits,3
169,stars,0
169,size,66050
169,Contributors,1
169,Forks,0
169,Age,0
170,commits,8
170,stars,0
170,size,9171
170,Contributors,0
170,Forks,0
170,Age,1
171,commits,6
171,stars,0
171,size,165049
171,Contributors,1
171,Forks,0
171,Age,2
172,commits,5
172,stars,2
172,size,25554
172,Contributors,1
172,Forks,0
172,Age,9
173,commits,5
173,stars,0
173,size,46318
173,Contributors,1
173,Forks,0
173,Age,2
174,commits,12
174,stars,0
174,size,1960
174,Contributors,1
174,Forks,0
174,Age,1
175,commits,12
175,stars,0
175,Contributors,1
175,Forks,0
175,Age,4
176,commits,3
176,stars,8
176,size,1366
176,Contributors,0
176,Forks,2
176,Age,0
177,commits,3
177,stars,6
177,size,14361
177,Contributors,1
177,Forks,2
177,Age,0
178,commits,2
178,stars,0
178,size,3
178,Contributors,1
178,Forks,0
178,Age,0
179,commits,28
179,stars,5
179,size,81
179,Contributors,1
179,Forks,2
179,Age,0
180,commits,10
180,stars,0
180,size,79748
180,Contributors,1
180,Forks,0
180,Age,1
181,commits,9
181,stars,0
181,size,1712
181,Contributors,1
181,Forks,0
181,Age,0
182,commits,23
182,stars,0
182,size,2064
182,Contributors,1
182,Forks,1
182,Age,0
183,commits,8
183,stars,0
183,size,6
183,Contributors,1
183,Forks,0
183,Age,7
184,commits,423
184,size,258841
184,Contributors,1
185,commits,2
185,stars,0
185,size,8290
185,Contributors,1
185,Forks,0
185,Age,0
186,commits,6
186,stars,0
186,size,1355
186,Contributors,1
186,Forks,0
186,Age,0
187,stars,2
187,size,102657
187,Forks,0
187,Age,0
188,commits,79
188,stars,0
188,Contributors,1
188,Forks,0
188,Age,5
189,commits,1
189,stars,2
189,size,1319
189,Contributors,0
189,Forks,1
189,Age,0
190,commits,2
190,stars,0
190,size,2226
190,Contributors,1
190,Forks,0
190,Age,0
191,commits,88
191,stars,0
191,size,155740
191,Contributors,5
191,Forks,0
191,Age,6
192,commits,3
192,stars,0
192,size,865
192,Contributors,1
192,Forks,0
192,Age,0
193,commits,47
193,size,11467
193,Contributors,3
193,Age,9
194,commits,15
194,stars,1
194,size,2667
194,Contributors,2
194,Forks,1
194,Age,0
195,commits,22
195,stars,2
195,size,450
195,Contributors,2
195,Forks,0
195,Age,1
196,commits,3
196,stars,2
196,size,120268
196,Contributors,1
196,Forks,3
196,Age,8
197,commits,18
197,Contributors,1
197,Age,0
198,commits,5
198,stars,0
198,size,8
198,Contributors,0
198,Forks,0
198,Age,0
199,commits,19
199,stars,0
199,size,16138
199,Contributors,0
199,Forks,0
199,Age,0
200,commits,3
200,stars,0
200,size,208
200,Contributors,1
200,Forks,0
200,Age,0
201,commits,39
201,stars,4
201,size,5784
201,Contributors,1
201,Forks,0
201,Age,2
202,commits,6
202,stars,0
202,size,341
202,Contributors,1
202,Forks,0
202,Age,0
203,commits,3
203,stars,0
203,size,9694
203,Contributors,1
203,Forks,0
203,Age,0
204,commits,27
204,stars,1
204,size,67432
204,Contributors,1
204,Forks,0
204,Age,1
205,stars,0
205,size,200833
205,Forks,0
205,Age,1
206,stars,2
206,size,28495
206,Forks,0
206,Age,0
207,commits,20
207,stars,3
207,size,262035
207,Contributors,1
207,Forks,1
207,Age,6
208,commits,2
208,stars,1
208,size,35
208,Contributors,1
208,Forks,0
208,Age,0
209,commits,390
209,stars,7
209,Age,3
210,commits,113
210,stars,2
210,size,1453
210,Contributors,2
210,Forks,0
210,Age,1
211,commits,3
211,stars,0
